"Release Year YYYY","Release Site Name","Release Site RKM Value","Release Site RKM Total","Release Date MMDDYYYY","Mark File Name","Mark Data Project Code and Name","Mark Site Name","Mark Date MMDDYYYY","Mark Count"
"2014","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/14/2014","BDL14037.W12","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","300"
"2014","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/14/2014","BDL14037.W13","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","319"
"2014","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/14/2014","BDL14037.W22","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","200"
"2014","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/14/2014","BDL14037.W23","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","279"
"2014","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/14/2014","BDL14037.W32","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","400"
"2014","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/14/2014","BDL14037.W33","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","317"
"2014","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/14/2014","BDL14037.W42","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","400"
"2014","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/14/2014","BDL14037.W43","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","380"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14036.W11","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/5/2014","399"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14036.W12","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/5/2014","1,725"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14036.W13","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/5/2014","1,596"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14036.W21","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/5/2014","250"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14036.W22","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/5/2014","1,239"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14036.W23","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/5/2014","1,229"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14036.W31","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/5/2014","372"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14036.W32","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/5/2014","1,637"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14036.W33","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/5/2014","1,467"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14036.W41","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/5/2014","277"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14036.W42","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/5/2014","1,100"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14036.W43","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/5/2014","1,398"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14037.W14","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","298"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14037.W24","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","300"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14037.W34","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","323"
"2014","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/16/2014","BDL14037.W44","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","377"
"2014","NEWSOC - Newsome Creek","522.224.120.084.000","950","4/17/2014","BDL14037.W11","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","400"
"2014","NEWSOC - Newsome Creek","522.224.120.084.000","950","4/17/2014","BDL14037.W21","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","297"
"2014","NEWSOC - Newsome Creek","522.224.120.084.000","950","4/17/2014","BDL14037.W31","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","400"
"2014","NEWSOC - Newsome Creek","522.224.120.084.000","950","4/17/2014","BDL14037.W41","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/6/2014","399"
"2015","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/6/2015","BDL15040.W11","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/9/2015","175"
"2015","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/6/2015","BDL15040.W21","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/9/2015","225"
"2015","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/6/2015","BDL15040.W31","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/9/2015","385"
"2015","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/6/2015","BDL15040.W41","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/9/2015","513"
"2015","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/6/2015","BDL15041.W11","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","6"
"2015","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/6/2015","BDL15041.W21","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","303"
"2015","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/6/2015","BDL15041.W31","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","426"
"2015","CLWRSF - South Fork Clearwater River","522.224.120.031","897","4/6/2015","BDL15041.W41","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","561"
"2015","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/8/2015","BDL15041.W12","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","175"
"2015","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/8/2015","BDL15041.W13","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","201"
"2015","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/8/2015","BDL15041.W14","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","472"
"2015","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/8/2015","BDL15041.W15","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","684"
"2015","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/8/2015","BDL15041.W16","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","528"
"2015","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/8/2015","BDL15041.W22","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","224"
"2015","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/8/2015","BDL15041.W23","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","298"
"2015","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/8/2015","BDL15041.W24","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","776"
"2015","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/8/2015","BDL15041.W25","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","923"
"2015","MEAD2C - Meadow Creek, South Fork Clearwater","522.224.120.053.014","933","4/8/2015","BDL15041.W26","BDL - Brian Leth Projects","CLWH - Clearwater Hatchery","2/10/2015","671"
