"Tag Code","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1C2D9D0C89","BO1","7/30/2024 4:08:47 PM","24","120","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","BO1","7/30/2024 4:10:42 PM","22","120","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","BO1","7/30/2024 4:12:12 PM","20","120","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","BO1","7/30/2024 4:12:19 PM","1E","120","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","BO1","7/30/2024 4:16:13 PM","1C","120","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","BO1","7/30/2024 4:16:20 PM","1A","120","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","BO1","7/30/2024 4:17:36 PM","18","120","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","BO1","7/30/2024 4:17:43 PM","16","120","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","BO1","7/30/2024 4:59:58 PM","04","120","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","BO1","7/30/2024 5:04:04 PM","03","120","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","BO1","7/30/2024 5:04:05 PM","03","120","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","BO1","7/30/2024 5:07:07 PM","02","120","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","CLWR","6/29/2020 8:00:00 AM","NA","0","Chinook","Wild Fish or Natural Production","Mark","River","CLWR","6/29/2020 4:00:00 PM","1"
"3D9.1C2D9D0C89","GOA","8/7/2024 8:41:50 AM","02","100","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","GOA","8/7/2024 8:41:51 AM","01","100","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","GOA","8/7/2024 8:41:52 AM","01","100","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","GRA","8/9/2024 1:25:06 AM","B3","150","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","GRA","8/9/2024 4:55:54 AM","14","150","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","GRA","8/9/2024 4:55:54 AM","16","150","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
"3D9.1C2D9D0C89","GRA","8/9/2024 4:55:54 AM","18","150","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","","","1"
