"Tag Code","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"384.3B239C497B","BO2","9/22/2013 7:19:10 AM","10","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO2","9/22/2013 7:19:21 AM","0E","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO2","9/22/2013 7:22:31 AM","0C","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO2","9/22/2013 7:22:40 AM","0A","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO2","9/22/2013 7:22:49 AM","08","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO2","9/22/2013 7:22:50 AM","08","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO2","9/22/2013 7:26:26 AM","05","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO2","9/22/2013 7:28:26 AM","03","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO2","9/22/2013 7:30:06 AM","01","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO4","9/22/2013 8:34:04 AM","04","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO4","9/22/2013 8:39:32 AM","03","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO4","9/22/2013 8:39:33 AM","03","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO4","9/22/2013 8:42:45 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO4","9/22/2013 8:45:02 AM","01","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BO4","9/22/2013 8:45:03 AM","01","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","BONAFF","9/21/2013 8:38:00 AM","NA","0","Steelhead","Unknown","Mark","Intra-Dam Release Site","COLR3","9/21/2013 1:32:00 PM","1"
"384.3B239C497B","GRA","10/15/2013 2:35:50 PM","16","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","GRA","10/15/2013 2:35:50 PM","18","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","GRA","10/15/2013 2:35:51 PM","12","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","GRA","10/15/2013 2:35:51 PM","14","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","GRA","10/15/2013 3:47:23 PM","08","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","GRA","10/15/2013 3:48:04 PM","06","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","GRA","10/15/2013 3:48:53 PM","04","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","GRA","10/15/2013 3:51:30 PM","01","140","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","ICH","10/8/2013 9:43:32 PM","0F","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.3B239C497B","ICH","10/8/2013 9:43:33 PM","0F","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.3B239C497B","ICH","10/8/2013 9:43:41 PM","0D","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.3B239C497B","ICH","10/8/2013 9:44:07 PM","0B","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.3B239C497B","ICH","10/8/2013 9:46:46 PM","09","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.3B239C497B","ICH","10/8/2013 9:46:47 PM","09","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.3B239C497B","ICH","10/9/2013 10:03:26 AM","07","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.3B239C497B","ICH","10/9/2013 10:03:27 AM","07","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.3B239C497B","ICH","10/9/2013 10:04:05 AM","05","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.3B239C497B","ICH","10/9/2013 10:06:10 AM","03","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.3B239C497B","ICH","10/9/2013 10:07:15 AM","01","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.3B239C497B","ICH","10/9/2013 10:07:16 AM","01","100","Steelhead","Unknown","Observation","Combined Dam Location","","","1"
"384.3B239C497B","MC1","10/7/2013 8:32:10 AM","11","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 8:34:14 AM","0F","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 8:34:15 AM","0F","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 8:38:00 AM","0D","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 8:41:47 AM","09","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 8:41:48 AM","09","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 8:43:50 AM","07","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 8:48:15 AM","03","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:08:41 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:08:42 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:08:49 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:08:50 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:08:51 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:15:00 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:15:05 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:15:06 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:18:19 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:18:20 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:18:22 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:18:23 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:24:28 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:24:29 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:24:59 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:25:00 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","MC1","10/7/2013 10:25:04 AM","01","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","SC1","3/12/2014 3:00:45 PM","B1","100","Steelhead","Unknown","Observation","Instream Remote Detection System","","","1"
"384.3B239C497B","SC1","3/12/2014 3:01:45 PM","B1","100","Steelhead","Unknown","Observation","Instream Remote Detection System","","","1"
"384.3B239C497B","TD1","9/29/2013 12:49:39 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","TD1","9/29/2013 12:49:45 AM","01","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239C497B","TD1","9/29/2013 12:49:46 AM","01","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 7:15:10 AM","17","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 7:15:11 AM","17","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 7:15:31 AM","13","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 7:15:35 AM","11","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 8:15:57 AM","36","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 8:15:57 AM","38","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 8:15:58 AM","32","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 8:15:58 AM","34","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 9:03:16 AM","0F","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 9:03:17 AM","0F","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 9:03:21 AM","0D","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 9:08:18 AM","0B","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 9:08:19 AM","0B","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 9:08:23 AM","09","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 9:08:24 AM","09","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 9:08:30 AM","07","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 9:16:54 AM","05","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 9:20:09 AM","03","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO3","9/29/2013 9:20:10 AM","03","110","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO4","9/29/2013 10:06:20 AM","04","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO4","9/29/2013 10:06:21 AM","04","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO4","9/29/2013 10:13:42 AM","03","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO4","9/29/2013 10:16:02 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO4","9/29/2013 10:16:03 AM","02","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BO4","9/29/2013 10:18:48 AM","01","100","Steelhead","Unknown","Observation","Adult Fishway","","","1"
"384.3B239D3254","BONAFF","9/28/2013 8:47:00 AM","NA","0","Steelhead","Unknown","Mark","Intra-Dam Release Site","COLR3","9/28/2013 2:30:00 PM","1"
