"Tag Code","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1C2D69E1C1","BO1","8/10/2023 7:15:45 PM","24","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/10/2023 7:18:29 PM","22","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/10/2023 7:20:50 PM","20","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/10/2023 7:22:47 PM","1E","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/10/2023 7:25:05 PM","1C","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/10/2023 7:26:47 PM","1A","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/10/2023 7:29:24 PM","18","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/10/2023 7:32:41 PM","16","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/11/2023 5:13:00 AM","04","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/11/2023 5:13:01 AM","04","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/11/2023 5:15:44 AM","03","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/11/2023 5:15:45 AM","03","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/11/2023 5:17:08 AM","02","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/11/2023 5:17:09 AM","02","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/11/2023 5:19:06 AM","01","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","BO1","8/11/2023 5:19:07 AM","01","120","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","CLWH","9/30/2020 1:28:03 PM","NA","0","Steelhead","Hatchery Reared","Mark","Hatchery","NEWSOC","4/5/2021 7:00:00 AM","1"
"3D9.1C2D69E1C1","GOA","9/18/2023 2:54:10 PM","02","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","GOA","9/18/2023 2:54:11 PM","02","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","GOA","9/18/2023 2:54:13 PM","01","100","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","GRA","9/19/2023 4:22:28 PM","B3","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","GRA","9/19/2023 5:21:22 PM","12","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","GRA","9/19/2023 5:21:22 PM","14","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","GRA","9/19/2023 5:21:22 PM","16","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","GRA","9/19/2023 5:21:22 PM","18","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","GRA","9/19/2023 7:06:59 PM","08","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","GRA","9/19/2023 7:07:00 PM","08","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D9.1C2D69E1C1","GRA","9/19/2023 7:07:32 PM","06","150","Steelhead","Hatchery Reared","Observation","Adult Fishway","","","1"
