"Tag Code","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D6.1D5972C0DD","BO1","8/14/2023 10:41:15 AM","23","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 10:41:23 AM","21","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 10:43:15 AM","1F","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 10:45:24 AM","1D","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 10:45:34 AM","1B","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 10:50:33 AM","15","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 11:49:47 AM","04","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 11:59:34 AM","03","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 11:59:35 AM","03","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 12:01:44 PM","02","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 12:01:45 PM","02","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 12:01:46 PM","02","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 12:01:47 PM","02","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 12:01:48 PM","02","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 12:01:49 PM","02","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
"3D6.1D5972C0DD","BO1","8/14/2023 12:04:19 PM","01","120","Chinook","Hatchery Reared","Observation","Adult Fishway","","","1"
