slug,slug,value,read_at,reader
SC4,air_temp,-1.70000,2023-12-30 23:53:59,A1
SC4,air_temp,-1.60000,2023-12-30 22:54:00,A1
SC4,air_temp,-1.40000,2023-12-30 21:54:00,A1
SC4,air_temp,-1.30000,2023-12-30 20:54:00,A1
SC4,air_temp,-1.30000,2023-12-30 19:54:00,A1
SC4,air_temp,-1.00000,2023-12-30 18:54:00,A1
SC4,air_temp,-1.00000,2023-12-30 17:53:59,A1
SC4,air_temp,-0.80000,2023-12-30 16:53:59,A1
SC4,air_temp,-0.40000,2023-12-30 15:53:59,A1
SC4,air_temp,0.30000,2023-12-30 14:54:00,A1
SC4,air_temp,1.20000,2023-12-30 13:54:00,A1
SC4,air_temp,0.70000,2023-12-30 12:54:00,A1
SC4,air_temp,0.40000,2023-12-30 11:54:00,A1
SC4,air_temp,-1.30000,2023-12-30 10:54:01,A1
SC4,air_temp,-2.90000,2023-12-30 09:53:58,A1
SC4,air_temp,-4.30000,2023-12-30 08:53:58,A1
SC4,air_temp,-4.70000,2023-12-30 07:53:58,A1
SC4,air_temp,-4.70000,2023-12-30 06:53:59,A1
SC4,air_temp,-4.40000,2023-12-30 05:53:59,A1
SC4,air_temp,-3.40000,2023-12-30 04:53:59,A1
SC4,air_temp,-3.50000,2023-12-30 03:53:59,A1
SC4,air_temp,-3.10000,2023-12-30 02:54:00,A1
SC4,air_temp,-2.80000,2023-12-30 01:53:59,A1
SC4,air_temp,-2.00000,2023-12-30 00:53:59,A1
SC4,air_temp,-1.60000,2023-12-29 23:53:59,A1
SC4,air_temp,-1.60000,2023-12-29 22:54:00,A1
SC4,air_temp,-1.60000,2023-12-29 21:54:00,A1
SC4,air_temp,-1.60000,2023-12-29 20:54:00,A1
SC4,air_temp,-1.60000,2023-12-29 19:54:00,A1
SC4,air_temp,-1.40000,2023-12-29 18:54:00,A1
SC4,air_temp,-1.60000,2023-12-29 17:54:00,A1
SC4,air_temp,-1.30000,2023-12-29 16:54:00,A1
SC4,air_temp,-0.90000,2023-12-29 15:54:00,A1
SC4,air_temp,0.00000,2023-12-29 14:54:00,A1
SC4,air_temp,0.80000,2023-12-29 13:54:00,A1
SC4,air_temp,0.00000,2023-12-29 12:54:00,A1
SC4,air_temp,1.90000,2023-12-29 11:54:00,A1
SC4,air_temp,-1.60000,2023-12-29 10:54:01,A1
SC4,air_temp,-1.90000,2023-12-29 09:54:01,A1
SC4,air_temp,-3.20000,2023-12-29 08:54:01,A1
SC4,air_temp,-3.80000,2023-12-29 07:54:01,A1
SC4,air_temp,-3.50000,2023-12-29 06:54:01,A1
SC4,air_temp,-3.80000,2023-12-29 05:54:00,A1
SC4,air_temp,-3.10000,2023-12-29 04:54:00,A1
SC4,air_temp,-3.10000,2023-12-29 03:54:00,A1
SC4,air_temp,-2.80000,2023-12-29 02:54:01,A1
SC4,air_temp,-2.80000,2023-12-29 01:54:00,A1
SC4,air_temp,-1.90000,2023-12-29 00:54:00,A1
SC4,air_temp,-2.20000,2023-12-28 23:54:00,A1
SC4,air_temp,-2.20000,2023-12-28 22:54:01,A1
SC4,air_temp,-2.00000,2023-12-28 21:54:00,A1
SC4,air_temp,-2.10000,2023-12-28 20:54:00,A1
SC4,air_temp,-2.40000,2023-12-28 19:54:00,A1
SC4,air_temp,-3.00000,2023-12-28 18:54:01,A1
SC4,air_temp,-2.70000,2023-12-28 17:54:02,A1
SC4,air_temp,-2.80000,2023-12-28 16:54:02,A1
SC4,air_temp,-2.60000,2023-12-28 15:54:02,A1
SC4,air_temp,-1.60000,2023-12-28 14:54:02,A1
SC4,air_temp,0.60000,2023-12-28 13:54:01,A1
SC4,air_temp,-1.60000,2023-12-28 12:54:01,A1
SC4,air_temp,0.00000,2023-12-28 11:54:01,A1
SC4,air_temp,-4.80000,2023-12-28 10:54:02,A1
SC4,air_temp,-6.30000,2023-12-28 09:54:02,A1
SC4,air_temp,-6.30000,2023-12-28 08:54:02,A1
SC4,air_temp,-6.10000,2023-12-28 07:54:02,A1
SC4,air_temp,-5.30000,2023-12-28 06:54:02,A1
SC4,air_temp,-5.30000,2023-12-28 05:54:00,A1
SC4,air_temp,-4.70000,2023-12-28 04:54:00,A1
SC4,air_temp,-4.60000,2023-12-28 03:54:00,A1
SC4,air_temp,-4.70000,2023-12-28 02:54:01,A1
SC4,air_temp,-4.70000,2023-12-28 01:54:01,A1
SC4,air_temp,-5.40000,2023-12-28 00:54:01,A1
SC4,air_temp,-5.30000,2023-12-27 23:54:01,A1
SC4,air_temp,-5.20000,2023-12-27 22:54:01,A1
SC4,air_temp,-3.80000,2023-12-27 21:54:01,A1
SC4,air_temp,-3.90000,2023-12-27 20:54:01,A1
SC4,air_temp,-4.00000,2023-12-27 19:54:01,A1
SC4,air_temp,-4.20000,2023-12-27 18:54:02,A1
SC4,air_temp,-4.10000,2023-12-27 17:54:00,A1
SC4,air_temp,-4.10000,2023-12-27 16:54:01,A1
SC4,air_temp,-4.10000,2023-12-27 15:54:01,A1
SC4,air_temp,-3.50000,2023-12-27 14:54:01,A1
SC4,air_temp,-3.50000,2023-12-27 13:54:01,A1
SC4,air_temp,-4.20000,2023-12-27 12:54:01,A1
SC4,air_temp,-5.40000,2023-12-27 11:54:01,A1
SC4,air_temp,-6.60000,2023-12-27 10:54:02,A1
SC4,air_temp,-8.00000,2023-12-27 09:54:01,A1
SC4,air_temp,-9.90000,2023-12-27 08:54:01,A1
SC4,air_temp,-11.40000,2023-12-27 07:54:01,A1
SC4,air_temp,-12.10000,2023-12-27 06:54:02,A1
SC4,air_temp,-12.60000,2023-12-27 05:54:02,A1
SC4,air_temp,-12.30000,2023-12-27 04:54:02,A1
SC4,air_temp,-11.40000,2023-12-27 03:54:02,A1
SC4,air_temp,-10.50000,2023-12-27 02:54:03,A1
SC4,air_temp,-9.80000,2023-12-27 01:54:02,A1
SC4,air_temp,-8.50000,2023-12-27 00:54:02,A1
SC4,air_temp,-7.60000,2023-12-26 23:54:02,A1
SC4,air_temp,-7.20000,2023-12-26 22:54:02,A1
SC4,air_temp,-6.70000,2023-12-26 21:54:02,A1
SC4,air_temp,-6.00000,2023-12-26 20:54:02,A1
SC4,air_temp,-6.20000,2023-12-26 19:54:02,A1
SC4,air_temp,-5.70000,2023-12-26 18:54:02,A1
SC4,air_temp,-4.90000,2023-12-26 17:54:02,A1
SC4,air_temp,-3.60000,2023-12-26 16:54:02,A1
SC4,air_temp,-1.70000,2023-12-26 15:54:02,A1
SC4,air_temp,-0.80000,2023-12-26 14:54:03,A1
SC4,air_temp,3.30000,2023-12-26 13:54:02,A1
SC4,air_temp,-0.40000,2023-12-26 12:54:02,A1
SC4,air_temp,-2.60000,2023-12-26 11:54:02,A1
SC4,air_temp,-4.90000,2023-12-26 10:54:03,A1
SC4,air_temp,-6.60000,2023-12-26 09:54:03,A1
SC4,air_temp,-7.50000,2023-12-26 08:54:03,A1
SC4,air_temp,-8.70000,2023-12-26 07:54:03,A1
SC4,air_temp,-9.20000,2023-12-26 06:54:03,A1
SC4,air_temp,-9.40000,2023-12-26 05:54:04,A1
SC4,air_temp,-10.00000,2023-12-26 04:54:04,A1
SC4,air_temp,-10.70000,2023-12-26 03:54:04,A1
SC4,air_temp,-11.40000,2023-12-26 02:54:04,A1
SC4,air_temp,-12.50000,2023-12-26 01:54:02,A1
SC4,air_temp,-13.90000,2023-12-26 00:54:02,A1
SC4,air_temp,-14.40000,2023-12-25 23:54:02,A1
SC4,air_temp,-14.30000,2023-12-25 22:54:02,A1
SC4,air_temp,-13.90000,2023-12-25 21:54:02,A1
SC4,air_temp,-13.60000,2023-12-25 20:54:02,A1
SC4,air_temp,-13.40000,2023-12-25 19:54:02,A1
SC4,air_temp,-12.90000,2023-12-25 18:54:03,A1
SC4,air_temp,-12.50000,2023-12-25 17:54:02,A1
SC4,air_temp,-11.90000,2023-12-25 16:54:02,A1
SC4,air_temp,-10.90000,2023-12-25 15:54:02,A1
SC4,air_temp,-10.00000,2023-12-25 14:54:03,A1
SC4,air_temp,-2.80000,2023-12-25 13:54:02,A1
SC4,air_temp,-6.50000,2023-12-25 12:54:02,A1
SC4,air_temp,-8.30000,2023-12-25 11:54:02,A1
SC4,air_temp,-12.90000,2023-12-25 10:54:03,A1
SC4,air_temp,-15.90000,2023-12-25 09:54:03,A1
SC4,air_temp,-17.00000,2023-12-25 08:54:03,A1
SC4,air_temp,-17.40000,2023-12-25 07:54:03,A1
SC4,air_temp,-17.50000,2023-12-25 06:54:04,A1
SC4,air_temp,-17.00000,2023-12-25 05:54:03,A1
SC4,air_temp,-16.80000,2023-12-25 04:54:03,A1
SC4,air_temp,-16.40000,2023-12-25 03:54:03,A1
SC4,air_temp,-16.00000,2023-12-25 02:54:04,A1
SC4,air_temp,-15.80000,2023-12-25 01:54:03,A1
SC4,air_temp,-15.40000,2023-12-25 00:54:03,A1
SC4,air_temp,-15.10000,2023-12-24 23:54:03,A1
SC4,air_temp,-14.60000,2023-12-24 22:54:04,A1
