species,spawn_year,node,tags_at_node,tags_above_node,tags_resighted,est_tags_at_node,est_tags_se,eff_est,eff_se
Chinook,2022,SC1,174,170,146,203,2.5,0.857142857,0.010555947
Chinook,2022,SC2,105,137,72,199,8.9,0.527638191,0.023597889
Chinook,2022,SC3,133,110,106,138,1.1,0.963768116,0.00768221
Chinook,2022,SC4,108,11,9,130,15.3,0.830769231,0.097775148
Chinook,2022,CRA,11,0,0,11,0,1,0
Chinook,2023,SC1,149,141,132,159,1.2,0.937106918,0.007072505
Chinook,2023,SC2,112,108,79,153,4.8,0.732026144,0.022965526
Chinook,2023,SC3,108,91,91,108,0,1,0
Chinook,2023,SC4,90,10,9,99,8.6,0.909090909,0.078971534
Chinook,2023,CRA,10,0,0,10,0,1,0
Steelhead,2022,SC1,328,269,251,352,2.8,0.931818182,0.00741219
Steelhead,2022,SC2,245,71,47,368,27.3,0.66576087,0.049389325
Steelhead,2022,SC3,66,12,7,108,21.1,0.611111111,0.119393004
Steelhead,2022,SC4,11,3,2,15,3.5,0.733333333,0.171111111
Steelhead,2022,CRA,3,0,0,3,0,1,0
Steelhead,2023,SC1,575,498,487,588,1.5,0.977891156,0.00249462
Steelhead,2023,SC2,486,77,65,575,25.6,0.845217391,0.037630548
Steelhead,2023,SC3,77,12,12,77,0,1,0
Steelhead,2023,SC4,12,3,3,12,0,1,0
Steelhead,2023,CRA,3,0,0,3,0,1,0
Steelhead,2024,SC1,547,388,349,608,6.2,0.899671053,0.009174277
Steelhead,2024,SC2,319,140,71,626,45.2,0.509584665,0.036794292
Steelhead,2024,SC3,140,13,13,140,0,1,0
Steelhead,2024,SC4,13,2,2,13,0,1,0
Steelhead,2024,CRA,2,0,0,2,0,1,0
