spawn_year,node,rear,n_tags,q10,q25,q50,q75,q90
2013,SC1,H,190,02-16,02-27,03-02,03-12,03-23
2013,SC1,W,568,02-15,02-28,03-02,03-11,03-21
2013,SC2,H,101,02-14,02-26,03-02,03-12,03-20
2013,SC2,W,314,02-17,03-01,03-03,03-10,03-16
2014,SC1,H,372,02-19,02-25,03-03,03-12,03-25
2014,SC1,W,170,02-22,02-27,03-08,03-20,04-02
2014,SC2,H,194,02-19,02-24,02-27,03-12,03-25
2014,SC2,W,67,02-23,02-25,03-06,03-23,04-01
2015,SC1,H,242,01-26,02-05,02-08,02-20,03-20
2015,SC1,W,189,02-04,02-07,02-13,03-14,03-28
2015,SC2,H,135,01-27,02-05,02-08,02-15,03-20
2015,SC2,W,99,01-26,02-07,02-13,03-14,03-28
2016,SC1,H,164,02-11,02-13,02-15,02-19,03-02
2016,SC1,W,203,02-11,02-13,02-17,02-28,03-21
2016,SC2,H,45,02-12,02-13,02-15,02-29,03-27
2016,SC2,W,58,02-12,02-13,02-18,03-07,03-31
2017,SC1,H,321,02-17,02-19,02-21,03-02,03-08
2017,SC1,W,305,02-17,02-19,02-21,03-04,03-14
2017,SC2,H,220,02-17,02-19,02-20,03-02,03-07
2017,SC2,W,220,02-18,02-19,02-23,03-04,03-18
2018,SC1,H,147,01-13,01-22,02-01,02-04,03-01
2018,SC1,W,55,01-14,01-21,01-31,02-04,03-15
2018,SC2,H,126,01-13,01-21,02-01,02-04,03-03
2018,SC2,W,37,01-12,01-21,01-30,02-08,03-15
2019,SC1,H,157,02-17,03-09,03-16,03-18,03-20
2019,SC1,W,167,02-04,03-06,03-16,03-18,03-20
2019,SC2,H,104,02-17,03-07,03-16,03-20,03-21
2019,SC2,W,111,02-04,02-20,03-14,03-19,03-20
2020,SC1,H,115,01-29,02-06,02-16,03-09,03-28
2020,SC1,W,152,01-30,02-02,02-23,03-08,03-19
2020,SC2,H,77,01-29,02-08,02-22,03-08,03-27
2020,SC2,W,100,01-29,02-01,02-13,03-08,03-16
2021,SC1,H,487,02-11,02-24,03-03,03-07,03-14
2021,SC1,W,129,02-22,03-03,03-07,03-17,04-02
2021,SC2,H,395,02-21,02-26,03-04,03-08,03-15
2021,SC2,W,112,02-23,03-03,03-08,03-17,04-04
2022,SC1,H,98,02-15,02-20,03-03,03-06,03-15
2022,SC1,W,97,03-01,03-04,03-06,03-18,03-29
2022,SC2,H,84,02-17,02-21,03-04,03-07,03-16
2022,SC2,W,70,03-02,03-04,03-06,03-18,04-04
2022,SC3,H,33,03-24,03-28,03-30,04-16,04-26
2022,SC3,W,24,03-27,04-01,04-08,04-23,05-04
2022,SC4,H,3,01-01,04-09,04-09,04-23,04-23
2022,SC4,W,8,04-18,04-22,04-25,05-13,05-22
2023,SC1,H,406,02-04,02-21,03-08,03-13,03-18
2023,SC1,W,133,02-19,03-04,03-11,03-19,04-04
2023,SC2,H,338,02-18,02-22,03-10,03-14,03-21
2023,SC2,W,114,02-20,03-06,03-12,03-16,04-04
2023,SC3,H,53,04-15,04-15,04-19,04-22,04-23
2023,SC3,W,24,04-12,04-15,04-18,04-21,04-23
2023,SC4,H,9,01-01,04-24,04-25,04-27,04-30
2023,SC4,W,3,01-01,04-26,05-11,05-11,05-18
2024,SC1,H,237,01-31,02-03,02-05,02-14,02-23
2024,SC1,W,172,01-30,02-02,02-05,02-15,03-13
2024,SC2,H,141,02-01,02-03,02-06,02-15,03-09
2024,SC2,W,101,01-30,02-02,02-05,02-21,03-27
2024,SC3,H,79,03-21,03-25,03-28,04-06,04-11
2024,SC3,W,49,03-18,03-23,03-27,04-07,04-21
2024,SC4,H,9,02-11,04-02,04-08,04-24,04-27
2024,SC4,W,1,01-01,01-01,01-01,04-12,04-12
Total,SC1,H,2936,02-03,02-14,02-26,03-09,03-17
Total,SC1,W,2340,02-05,02-16,03-02,03-13,03-25
Total,SC2,H,1960,02-03,02-17,02-29,03-10,03-19
Total,SC2,W,1403,02-04,02-18,03-03,03-13,03-26
Total,SC3,H,165,03-24,03-28,04-06,04-16,04-22
Total,SC3,W,97,03-22,03-26,04-07,04-20,04-24
Total,SC4,H,21,04-02,04-09,04-23,04-26,04-29
Total,SC4,W,12,04-12,04-22,04-25,05-13,05-22
